device: cpu
Loaded VAE: L=40, z_dim=2
z_mean: [[0.02020533 0.04488197]] (1, 2)
z_std : [[0.94836676 0.56620383]] (1, 2)
T: 200 betas: (200,) 1e-04 0.02
Loaded latent diffusion: T=200, betas in [1.00e-04, 2.00e-02]
[INIT] best y: -1.177356179990683
[GP] it=001 | sigma_f2=2.95 | noise=0.001 | ell_med=20
u= -25.528310204769184 sigma= 0.33847551657258057 ||grad_mu||= 7.86924556919487 min_ell= 0.8
u= -25.17660248051044 sigma= 0.34438207251996855 ||grad_mu||= 7.727402392192548 min_ell= 0.8
u= -24.594375457811704 sigma= 0.353131192810937 ||grad_mu||= 7.669175222591106 min_ell= 0.8
u= -24.06728817095543 sigma= 0.3623406493704444 ||grad_mu||= 7.49882553955592 min_ell= 0.8
u= -23.58942094750603 sigma= 0.3704541747184714 ||grad_mu||= 7.417265815077586 min_ell= 0.8
u= -23.030088125066193 sigma= 0.3786533902051275 ||grad_mu||= 7.536331585448465 min_ell= 0.8
u= -22.384632136176304 sigma= 0.38876187249540634 ||grad_mu||= 7.6568592179704185 min_ell= 0.8
u= -21.68869871519017 sigma= 0.4013773454801567 ||grad_mu||= 7.669010911309722 min_ell= 0.8
u= -21.135975021744926 sigma= 0.41345590146615263 ||grad_mu||= 7.5155574032791135 min_ell= 0.8
u= -20.87539446423821 sigma= 0.42114291065627274 ||grad_mu||= 7.238781638977123 min_ell= 0.8
u= -20.620096620782867 sigma= 0.4271019897001731 ||grad_mu||= 7.164713312974669 min_ell= 0.8
u= -20.086134229046642 sigma= 0.4367764033678283 ||grad_mu||= 7.379751294958941 min_ell= 0.8
u= -19.398469623751225 sigma= 0.45057560521056783 ||grad_mu||= 7.593344171493417 min_ell= 0.8
u= -18.669850875887782 sigma= 0.4678667271518755 ||grad_mu||= 7.664791101576412 min_ell= 0.8
u= -18.065679956631048 sigma= 0.48407143231007616 ||grad_mu||= 7.650015551181845 min_ell= 0.8
u= -17.62049027794677 sigma= 0.4970545693062175 ||grad_mu||= 7.610492381223079 min_ell= 0.8
u= -17.23940009603406 sigma= 0.5078009666398815 ||grad_mu||= 7.661587320823947 min_ell= 0.8
u= -16.808954474517165 sigma= 0.5181643095722213 ||grad_mu||= 7.927913687214227 min_ell= 0.8
u= -16.359555180647515 sigma= 0.5293915061179936 ||grad_mu||= 8.213220013702998 min_ell= 0.8
u= -16.044867788157156 sigma= 0.5393523615099599 ||grad_mu||= 8.275712101977474 min_ell= 0.8
u= -15.883463914565485 sigma= 0.5451826859820176 ||grad_mu||= 8.265522102909808 min_ell= 0.8
u= -15.819378356849622 sigma= 0.5467846672802142 ||grad_mu||= 8.31850195504444 min_ell= 0.8
u= -15.814893578724018 sigma= 0.5461243583976951 ||grad_mu||= 8.38032612176321 min_ell= 0.8
u= -15.747513084108679 sigma= 0.5465724278356768 ||grad_mu||= 8.527077255421162 min_ell= 0.8
u= -15.632323369732113 sigma= 0.5488177167146672 ||grad_mu||= 8.667259170461197 min_ell= 0.8
u= -15.52366239241309 sigma= 0.5527929273037088 ||grad_mu||= 8.668891092841399 min_ell= 0.8
u= -15.415535505561602 sigma= 0.5571396709593871 ||grad_mu||= 8.648169510087762 min_ell= 0.8
u= -15.346035736002019 sigma= 0.5598051384525169 ||grad_mu||= 8.647130020696213 min_ell= 0.8
u= -15.337422856197076 sigma= 0.5605648885133323 ||grad_mu||= 8.618263876591307 min_ell= 0.8
u= -15.221655609527899 sigma= 0.5628175798873146 ||grad_mu||= 8.767958050766264 min_ell= 0.8
u= -14.874112027122814 sigma= 0.5693940704177766 ||grad_mu||= 9.226394323966872 min_ell= 0.8
u= -14.422076846569112 sigma= 0.5786770916438896 ||grad_mu||= 9.778326952432542 min_ell= 0.8
u= -14.136840091128306 sigma= 0.5854959306030769 ||grad_mu||= 10.07600922383807 min_ell= 0.8
u= -14.171121139620375 sigma= 0.5848807287093283 ||grad_mu||= 10.028172564487912 min_ell= 0.8
u= -14.327991206680124 sigma= 0.5805461223289489 ||grad_mu||= 9.897791777794675 min_ell= 0.8
u= -14.24924475221412 sigma= 0.5816472108411996 ||grad_mu||= 10.024577993057038 min_ell= 0.8
u= -13.865157899003894 sigma= 0.5906379880418994 ||grad_mu||= 10.440409407180859 min_ell= 0.8
u= -13.322833033176352 sigma= 0.6054175335063615 ||grad_mu||= 10.94358362018689 min_ell= 0.8
u= -12.875858445878816 sigma= 0.6205165974348955 ||grad_mu||= 11.247624652884104 min_ell= 0.8
u= -12.901404078424301 sigma= 0.6228966069751275 ||grad_mu||= 11.071760426682454 min_ell= 0.8
u= -13.14146759921365 sigma= 0.616956329060807 ||grad_mu||= 10.790677056009455 min_ell= 0.8
u= -13.111717850298104 sigma= 0.6168598876442272 ||grad_mu||= 10.867242004740731 min_ell= 0.8
u= -12.789603750363137 sigma= 0.6236512422532685 ||grad_mu||= 11.300439959322196 min_ell= 0.8
u= -12.53703277763698 sigma= 0.6280055708075394 ||grad_mu||= 11.685748897563103 min_ell= 0.8
u= -12.455999560367136 sigma= 0.6292007999684391 ||grad_mu||= 11.81775043560689 min_ell= 0.8
u= -12.440783682840223 sigma= 0.6305583618331199 ||grad_mu||= 11.791871685894508 min_ell= 0.8
u= -12.412565416911901 sigma= 0.6323830511960752 ||grad_mu||= 11.775111646828357 min_ell= 0.8
u= -12.331247137372602 sigma= 0.6347754561186948 ||grad_mu||= 11.855843232928663 min_ell= 0.8
u= -12.147829537415728 sigma= 0.6392314629905651 ||grad_mu||= 12.081330757372676 min_ell= 0.8
u= -11.849396064897645 sigma= 0.6466241890880776 ||grad_mu||= 12.44581539554658 min_ell= 0.8
u= -11.338946499774877 sigma= 0.6608238915787915 ||grad_mu||= 13.019779668439307 min_ell= 0.8
u= -10.900198647293916 sigma= 0.6743989907039203 ||grad_mu||= 13.479102018531627 min_ell= 0.8
u= -10.818924250524839 sigma= 0.6772678351824291 ||grad_mu||= 13.553954968783744 min_ell= 0.8
u= -10.932966079760549 sigma= 0.6715607566159042 ||grad_mu||= 13.507442782766496 min_ell= 0.8
u= -10.904286092270864 sigma= 0.6656991391125838 ||grad_mu||= 13.767232955333052 min_ell= 0.8
u= -10.624295897395244 sigma= 0.6635594022830184 ||grad_mu||= 14.393102402888749 min_ell= 0.8
u= -10.292407575621432 sigma= 0.664141084426204 ||grad_mu||= 14.99360339179666 min_ell= 0.8
u= -10.063642582723473 sigma= 0.6668147246546684 ||grad_mu||= 15.324593822186657 min_ell= 0.8
u= -10.00565806253051 sigma= 0.668288155292462 ||grad_mu||= 15.386105945055036 min_ell= 0.8
u= -10.008154348426768 sigma= 0.6682300004391025 ||grad_mu||= 15.383322728094184 min_ell= 0.8
u= -9.90346047443134 sigma= 0.6683047321897364 ||grad_mu||= 15.55936554458261 min_ell= 0.8
u= -9.682438968017392 sigma= 0.6682605793270933 ||grad_mu||= 15.921879104005962 min_ell= 0.8
u= -9.378811809018535 sigma= 0.6677700280677197 ||grad_mu||= 16.397247726958053 min_ell= 0.8
u= -9.065262029769912 sigma= 0.66783423156991 ||grad_mu||= 16.837412688562743 min_ell= 0.8
u= -9.056983448010804 sigma= 0.6659062896712314 ||grad_mu||= 16.88424350680184 min_ell= 0.8
u= -9.284917594231175 sigma= 0.6621255077713858 ||grad_mu||= 16.64644131347219 min_ell= 0.8
u= -9.443857778005048 sigma= 0.6580136213454322 ||grad_mu||= 16.506296345961452 min_ell= 0.8
u= -9.469171357900441 sigma= 0.6523247506319906 ||grad_mu||= 16.587634118597634 min_ell= 0.8
u= -9.38080521645889 sigma= 0.6413850709667759 ||grad_mu||= 16.920438820579236 min_ell= 0.8
u= -9.012668762058903 sigma= 0.6310889424094669 ||grad_mu||= 17.531196281218126 min_ell= 0.8
u= -8.591527469461099 sigma= 0.626552894217225 ||grad_mu||= 18.01400609213423 min_ell= 0.8
u= -8.432148220005327 sigma= 0.6240724546956974 ||grad_mu||= 18.184121928010835 min_ell= 0.8
u= -8.421089897688383 sigma= 0.620787285083509 ||grad_mu||= 18.231305121042585 min_ell= 0.8
u= -8.310153534362211 sigma= 0.6165563007056615 ||grad_mu||= 18.365789424901756 min_ell= 0.8
u= -7.810953033453537 sigma= 0.6134234042873705 ||grad_mu||= 18.733567517168492 min_ell= 0.8
u= -6.895761445942734 sigma= 0.6097633642009684 ||grad_mu||= 19.16708388101931 min_ell= 0.8
u= -6.218481074953603 sigma= 0.5984929307081224 ||grad_mu||= 19.323553947074107 min_ell= 0.8
u= -6.121173112494237 sigma= 0.5863662712089164 ||grad_mu||= 19.33668741410253 min_ell= 0.8
u= -6.1944066168053915 sigma= 0.5754723498010772 ||grad_mu||= 19.338801003688214 min_ell= 0.8
u= -5.929335212647263 sigma= 0.5650366068176879 ||grad_mu||= 19.324691795120778 min_ell= 0.8
